ID,title,price,state,remarke,last
4430022,"ソードアート・オンライン アリシゼーション War of Underworld リミテッドプレミアムフィギュア ""シノン"" 太陽神ソルスVer.",880円,未開封,,1点
4274788,ソードアート・オンライン II 閃光のアスナ アインクラッドのアイドルVer. 【電撃屋限定】 【フィギュア】[KADOKAWA|アスキー・メディアワークス],"11,550円",未開封,箱イタミ有,1点
4355077,ソードアート・オンライン アリシゼーション War of Underworld アスナ チャイナドレスver. 【F:NEX限定】 【フィギュア】[フリュー],"20,900円",未開封,,1点
4331567,一番くじ ソードアート・オンライン アリシゼーション War of Underworld ～最終章～ ラストワン賞 光の巫女アリス・シンセシス・サーティ(アリス・ツーベルク) フィギュア ～ラストワンver.～,"2,750円",未開封,,1点
4422478,B-Style ソードアート・オンライン アリシゼーション War of Underworld アスナ 血盟騎士団Ver. 【GOODSMILE ONLINE SHOP/Amazon/あみあみ限定】 【フィギュア】[FREEing],"38,500円",未開封,,1点
4420092,ソードアート・オンライン アリシゼーション 結城明日奈 水着Ver. 【フィギュア】[ベルファイン],"8,800円",未開封,,1点
4420107,ソードアート・オンライン アスナ [Starry night] 【フィギュア】[イージーエイト],"11,000円",未開封,,1点
4419045,ソードアート・オンライン アリシゼーション アリス・シンセシス・サーティ 【ANIPLEX+限定】 【フィギュア】[ANIPLEX],"26,400円",未開封,,1点
4415892,POP UP PARADE 劇場版 ソードアート・オンライン -プログレッシブ- 星なき夜のアリア アスナ 【フィギュア】[グッドスマイルカンパニー],"3,080円",未開封,,1点
4411727,ソードアート・オンライン アリシゼーション War of Underworld 結城明日奈  ワイシャツ Ver. 【フィギュア】[HOBBY STOCK],"16,500円",未開封,,1点
3712467,ソードアート・オンライン アリシゼーション アスナ -白無垢- 【F:NEX限定】 【フィギュア】[フリュー],"16,500円",未開封,箱イタミ有,1点
4360836,ソードアート・オンライン アスナ [Starry night] 【フィギュア】[イージーエイト],"12,100円",未開封,,1点
4322389,ソードアート・オンライン ユウキ 【フィギュア】[アルター],"19,800円",未開封,,1点
3748043,ドラゴンボールZ CREATOR×CREATOR -バーダック- A,990円,未開封,箱イタミ有,1点
4176559,ドラゴンボール超 CREATOR×CREATOR -孫悟空- A,990円,未開封,,
4176747,ドラゴンボールZ BURNING FIGHTERS vol.1 超サイヤ人孫悟空,880円,未開封,,
4054286,ドラゴンボールZ MATCH MAKERS-ANDROID 18- 人造人間18号,990円,未開封,,
3968416,"ドラゴンボール超 MAXIMATIC THE SON GOKU VI 孫悟空(身勝手の極意""兆"")",660円,未開封,,
4276868,ドラゴンボール超 地球育ちのサイヤ人 -超サイヤ人 孫悟空-,"1,320円",未開封,,
4278189,ドラゴンボール超 超戦士列伝 II ～第七章 時を超えた親子～ 超サイヤ人ゴッド超サイヤ人ベジータ(進化),880円,未開封,,
4280428,ドラゴンボール超 地球育ちのサイヤ人 -超サイヤ人 孫悟空-,"1,210円",未開封,箱イタミ有,
4288006,ドラゴンボール超 孫悟空FES!! 其之十六 孫悟空,"1,100円",未開封,,
4336582,ドラゴンボール超 超戦士列伝 II ～第七章 時を超えた親子～ トランクス,880円,未開封,,
4357281,ドラゴンボール超 CLEARISE 超サイヤ人ゴッド超サイヤ人ベジット,880円,未開封,,
4314445,ドラゴンボール超 CLEARISE 超サイヤ人ゴッド超サイヤ人ベジータ,935円,未開封,,
4314527,ドラゴンボールZ CREATOR×CREATOR -バーダック- B,"1,210円",未開封,,
4315539,ドラゴンボールZ CREATOR×CREATOR -バーダック- A,"1,100円",未開封,,
4317465,ドラゴンボール超 超戦士列伝 II ～第五章 誇り高きサイヤ人～ 超サイヤ人ベジータ,"1,320円",未開封,,
4318180,ドラゴンボール超 CLEARISE 超サイヤ人ゴッド超サイヤ人ベジータ,880円,未開封,箱イタミ有,
4318763,ドラゴンボールZ CREATOR×CREATOR -バーダック- A,990円,未開封,箱イタミ有,1点
4319503,ドラゴンボールZ MAXIMATIC THE VEGETA II,"1,320円",未開封,,
4319504,ドラゴンボールZ MAXIMATIC THE VEGETA II,"1,210円",未開封,箱イタミ有,1点
4326138,ドラゴンボール超 最強合体戦士ベジット -ファイナルかめはめ波!!- ver.1,"1,100円",未開封,,
4328686,ドラゴンボール超 超ゼンカイソリッド vol.2 孫悟空,880円,未開封,,
4290859,ドラゴンボールZ CREATOR×CREATOR -バーダック- B,"1,100円",未開封,箱イタミ有,
4291100,フィギュアーツZERO [超激戦 -EXTRA BATTLE-] ドラゴンボールZ スーパーサイヤ人ゴジータ 【魂ウェブ商店限定】 【フィギュア】[バンダイ],"9,900円",未開封,箱イタミ有,1点
4300094,ドラゴンボール超 孫悟空FES!! 其之十五 超サイヤ人 ゴジータ,880円,未開封,,
4300100,ドラゴンボール超 孫悟空FES!! 其之十五 超サイヤ人4 孫悟空,880円,未開封,,
